Tidak/belum pernah sekolah,Tidak/belum tamat SD,SD,SLTP,SLTA Umum/SMU,SLTA Kejuruan/SMK,Akademi/Diploma,Universitas,Total,Waktu,Tahun,Growth_Rate,Total_lag1
170666,611254,2589699,2730045,2851518,1305190,278074,395554,10932000,2006-08-01,2006,-1.5551352927991813,2006.0
145750,520316,2753548,2643062,2630360,1114675,330316,409890,10547917,2007-02-01,2007,-3.5133827296011666,2006.0
94301,438519,2179792,2264198,2532204,1538349,397191,566588,10011142,2007-08-01,2007,-5.088919452058638,2007.0
79764,448431,2216748,2166619,2204377,1165582,519867,626202,9427590,2008-02-01,2008,-5.829025300010726,2007.0
103206,443832,2099968,1973986,2403394,1409128,362683,598318,9394515,2008-08-01,2008,-0.35083197296446045,2008.0
60347,415955,2143747,2054682,2133627,1337586,486399,626621,9258964,2009-02-01,2009,-1.4428738471331415,2008.0
90471,547430,1531671,1770823,2472245,1407226,441100,701651,8962617,2009-08-01,2009,-3.200649662316435,2009.0
59066,547164,1522465,1657452,2111256,1336881,538186,820020,8592490,2010-02-01,2010,-4.129675517764508,2009.0
157586,600221,1402858,1661449,2149123,1195192,443222,710128,8319779,2010-08-01,2010,-3.173829704777076,2010.0
93956,559661,1291733,1834632,2385938,1109511,469009,635442,8379882,2011-02-01,2011,0.7224110159656849,2010.0
205388,737610,1241882,2138864,2376254,1161362,276816,543216,8681392,2011-08-01,2011,3.598022024653802,2011.0
126972,601753,1418683,1736670,2043697,1018465,258385,553206,7757831,2012-02-01,2012,-10.638397621026673,2011.0
85374,512041,1452047,1714776,1867755,1067009,200028,445836,7344866,2012-08-01,2012,-5.323201807309285,2012.0
112435,523400,1421873,1821429,1874799,864649,197270,425042,7240897,2013-02-01,2013,-1.4155329722829513,2012.0
81432,489152,1347555,1689643,1925660,1258201,185103,434185,7410931,2013-08-01,2013,2.348244975726077,2013.0
134040,610574,1374822,1693203,1893509,847365,195258,398298,7147069,2014-02-01,2014,-3.560443350504816,2013.0
74898,389550,1229652,1566838,1962786,1332521,193517,495143,7244905,2014-08-01,2014,1.3688968163033,2014.0
124303,603194,1320392,1650387,1762411,1174366,254312,565402,7454767,2015-02-01,2015,2.896683945476175,2014.0
55554,371542,1004961,1373919,2280029,1569690,251541,653586,7560822,2015-08-01,2015,1.4226467440229928,2015.0
94293,557418,1218954,1313815,1546699,1348327,249362,695304,7024172,2016-02-01,2016,-7.097773231534877,2015.0
59346,384069,1035731,1294483,1950626,1520549,219736,567235,7031775,2016-08-01,2016,0.10824051575046845,2016.0
92331,546897,1292234,1281240,1552894,1383022,249705,606939,7005262,2017-02-01,2017,-0.37704562503777517,2016.0
62984,404435,904561,1274417,1910829,1621402,242937,618758,7005262,2017-08-01,2017,0.0,2017.0
43740,452326,975661,1265421,1672601,1445340,304744,803624,6963457,2018-02-01,2018,-0.5967656884210748,2017.0
32315,328781,908228,1142168,1945826,1752241,223456,740370,7073385,2018-08-01,2018,1.5786411835385872,2018.0
36422,443495,965641,1235199,1690527,1397281,274377,855854,6898796,2019-02-01,2019,-2.468252470351895,2018.0
40771,347712,865778,1137195,2008035,1739625,218954,746354,7104424,2019-08-01,2019,2.9806360414194044,2019.0
35761,346778,1006744,1251352,1748834,1443522,267583,824912,6925486,2020-02-01,2020,-2.518684132591187,2019.0
31379,428813,1410537,1621518,2662444,2326599,305261,981203,9767754,2020-08-01,2020,41.04070097030012,2020.0
20461,342734,1219494,1515089,2305093,2089137,254457,999543,8746008,2021-02-01,2021,-10.460398572691332,2020.0
23905,431329,1393492,1604448,2472859,2111338,216024,848657,9102052,2021-08-01,2021,4.070931561004754,2021.0
24852,437819,1230914,1460221,2251558,1876661,235359,884769,8402153,2022-02-01,2022,-7.689463870344837,2021.0
15206,663125,1274153,1500807,2478173,1661492,159490,673485,8425931,2022-08-01,2022,0.28299889325986705,2022.0
15206,663125,1274153,1500807,2478173,1661492,159490,673485,8425931,2022-08-01,2022,0.0,2022.0
